t,d
45000,7.559664594815993e-13
90000,3.1045165981913266e-12
135000,7.298141062934969e-12
180000,1.3796441652892603e-11
225000,2.3327640966139956e-11
270000,3.698729893026925e-11
315000,5.638197869012837e-11
360000,8.383764817259782e-11
405000,1.226981954344411e-10
450000,1.7774954412802758e-10
495000,2.558239965337882e-10
540000,3.666562069669884e-10
585000,5.241017610073013e-10
630000,7.478678332983092e-10
675000,1.0659727131701787e-09
720000,1.5182411011314183e-09
765000,2.161274991748489e-09
810000,3.075517175076198e-09
855000,4.375294730231642e-09
900000,6.223095501648806e-09
945000,8.849861553488855e-09
